,cpu_rating,display_density,display_height,display_size,display_width,height,memory,standby_time,talk_time,thickness,weight,width
HTC-10_id9582,1,565,2560,2,1440,145.9,3,,,9,161,71.9.
LG-GW550_id4033,,167,240,4,320,116.3,5,370,3.50,12,122,61.5
Samsung-SCH-N330_id910,,,160,,128,97,,168,3.60,23,111,48
i-mobile-S389_id6298,,167,240,4,320,115,,340,5.60,11.5,,60
Samsung-GT-C3595_id8522,3,167,320,4,240,100.9,,300,10.00,17.33,102,50.9
LG-GB125_id4332,,121,128,5,128,87,,360,3.50,19.3,90,45
HTC-Trophy_id5463,3,246,800,8,480,119,5,286,4.90,12,139,61
ICEMOBILE-Clima-II_id6589,,298,320,4,640,108.6,,680,8.00,12.5,106,60
HTC-Wildfire-S-CDMA_id5641,3,180,480,2,320,99.9,5,570,5.80,14.15,105,57.8
Samsung-SGH-P960_id2609,,154,320,6,240,102,,280,5.00,16.5,138,53
Acer-Liquid-Gallant-Duo_id7437,3,256,960,3,540,129,1,,,9.9,145,65.9
Karbonn-K-101_id5840,,114,160,8,128,104.95,,400,2.50,15.8,,44.94
Verykool-Atlas-s5014_id9477,1,196,854,0,480,149,1,240,7.00,8.3,112,76.6
Lemon-Mobiles-Trio-320_id5988,,,,,,110,,136,6.00,15.9,100,46.5
BLU-Studio-5,1,178,854,5,480,157.3,1,300,4.00,9.5,185,79.3
Sony-Ericsson-Aino_id3733,,165,432,0,240,104,,380,13.00,15.5,134,50
BLU-Studio-7,1,170,1024,0,600,187.5,1,200,10.00,9.4,299,103
BLU-Studio-6,1,367,1920,0,1080,163.5,2,750,30.00,9.1,177,81.4
Spice-Mobile-M-6262_id5816,,,,4,,113,,300,6.00,14,130,51
HTC-Desire-HD_id4890,3,217,800,3,480,123,5,420,9.16,11.8,164,68
Celkon-A1_id7340,,146,400,2,240,113.5,,400,5.00,12.3,127,54.5
Emporia-TIME_id5834,,72,64,0,128,125,,250,3.00,17,110,54
Videocon-Infinium-Z50Q-Star_id9284,1,196,854,0,480,,1,,,,,
LAVA-Iris-349_id7792,3,165,480,5,320,115.8,5,400,6.00,13.3,115,61.5
